,id,host_id,host_response_time,host_response_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,nightly_price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,number_of_stays,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,date_host_since,date_first_review,date_last_review
1349,22263080,162682713,,,False,Pacific Beach,2,True,False,Pacific Beach,Guesthouse,Entire home/apt,2,1.0,1,2,200.0,500.0,65.0,2,2,1125,3,6,100,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2017-12-14,2018-07-24,2019-02-18
1351,22669831,103732317,within an hour,100.0,False,Park West,12,True,False,Park West,House,Private room,2,1.5,1,1,200.0,100.0,20.0,1,2,1125,24,48,91,9,9,10,9,10,9,False,True,False,strict_14_with_grace_period,False,False,2016-11-14,2018-01-15,2019-08-07
1352,26154355,54625493,,,False,South Park,1,True,False,South Park,Guesthouse,Entire home/apt,2,1.0,0,1,200.0,,,1,2,29,5,10,100,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2016-01-14,2018-06-25,2018-07-23
1353,26630989,62008686,within an hour,100.0,True,Hillcrest,15,True,True,North Park,Bungalow,Entire home/apt,2,1.0,1,1,100.0,250.0,73.0,2,4,1125,81,162,96,10,9,10,10,10,10,False,True,False,moderate,False,False,2016-03-07,2018-07-23,2019-08-13
1354,26671508,18066977,,,True,Pacific Beach,1,True,False,Pacific Beach,Apartment,Entire home/apt,2,1.0,0,1,200.0,1000.0,65.0,1,2,27,54,108,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-07-13,2018-07-20,2019-05-05
1355,26899391,8294445,within an hour,100.0,False,Roseville/Fleet Ridge,1,True,True,Roseville/Fleet Ridge,Townhouse,Private room,2,1.0,1,1,200.0,,,1,2,30,3,6,100,10,10,10,10,10,9,False,False,False,flexible,False,False,2013-08-21,2018-07-22,2019-07-12
1356,27135397,17066595,within an hour,100.0,True,Park West,1,True,True,Park West,Apartment,Entire home/apt,2,1.0,1,1,200.0,,50.0,1,2,1125,13,26,100,10,10,10,10,10,10,False,True,False,moderate,False,False,2014-06-21,2018-07-29,2019-08-11
1357,28080167,61181691,within a day,100.0,False,,1,True,False,Bay Ho,Loft,Entire home/apt,2,1.0,1,1,200.0,100.0,50.0,2,2,1125,3,6,100,10,10,9,10,9,9,False,False,False,flexible,False,False,2016-03-02,2018-09-01,2019-01-24
1358,29872033,67635848,within an hour,100.0,False,,1,True,False,Pacific Beach,Apartment,Entire home/apt,2,1.0,1,1,100.0,,,1,4,10,7,14,97,10,10,10,10,10,10,False,False,False,flexible,False,False,2016-04-17,2018-12-16,2019-07-29
1359,33143383,26542025,within an hour,100.0,False,East Village,36,True,True,Morena,Apartment,Entire home/apt,2,1.0,1,1,400.0,0.0,39.0,2,1,20,15,30,100,10,10,10,10,10,10,False,True,False,flexible,False,False,2015-01-22,2019-03-31,2019-06-24
1360,33556947,252857506,within an hour,100.0,False,Pacific Beach,2,True,False,Pacific Beach,House,Private room,2,1.0,2,2,400.0,300.0,,1,1,1125,9,18,95,10,9,10,10,10,10,False,False,False,moderate,False,False,2019-04-02,2019-06-02,2019-08-05
1364,10072296,9832430,within a few hours,100.0,True,Hillcrest,12,True,False,Midway District,Boat,Entire home/apt,2,1.0,1,1,399.0,200.0,85.0,1,1,1125,74,148,97,10,10,10,10,10,9,False,False,False,strict_14_with_grace_period,False,False,2013-11-05,2016-01-01,2018-07-10
1366,3231295,16354032,within an hour,100.0,True,Pacific Beach,2,True,True,Pacific Beach,Apartment,Entire home/apt,2,1.0,1,1,199.0,500.0,50.0,1,2,1125,65,130,98,10,10,10,10,10,10,False,False,False,moderate,False,False,2014-06-03,2014-07-28,2019-07-28
1367,15083774,90268565,within an hour,100.0,True,Pacific Beach,1,True,True,Pacific Beach,Apartment,Entire home/apt,2,1.0,1,1,199.0,0.0,30.0,2,2,30,36,72,95,10,10,10,10,10,10,False,False,False,moderate,False,False,2016-08-16,2016-11-12,2019-08-12
1368,19917142,677370,,,False,,1,True,True,North Park,Apartment,Entire home/apt,2,1.0,1,1,199.0,0.0,0.0,1,2,10,3,6,87,8,8,8,8,10,8,False,True,False,flexible,False,False,2011-06-08,2017-07-23,2018-07-22
1369,7604106,5920875,within an hour,100.0,True,College West,3,True,True,College West,Guesthouse,Entire home/apt,2,1.0,1,1,132.0,600.0,75.0,2,3,1124,21,42,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2013-04-14,2015-12-01,2019-08-12
1370,12092825,35167233,within an hour,100.0,True,Mission Beach,11,True,True,Mission Beach,Apartment,Entire home/apt,2,1.0,0,1,99.0,,45.0,1,4,1125,109,218,96,10,10,10,10,10,10,False,True,False,moderate,False,False,2015-06-06,2016-05-24,2019-07-01
1371,13460706,76933631,within a day,100.0,False,Pacific Beach,2,True,True,Pacific Beach,House,Entire home/apt,2,1.0,0,1,99.0,1000.0,69.0,2,4,12,15,30,95,10,9,9,9,10,9,False,False,False,strict_14_with_grace_period,False,False,2016-06-10,2016-07-16,2018-05-30
1372,23092332,22411091,within an hour,100.0,True,Roseville/Fleet Ridge,1,True,True,Roseville/Fleet Ridge,Guest suite,Entire home/apt,2,1.0,1,2,99.0,100.0,120.0,2,4,120,18,36,100,10,10,10,10,10,10,False,True,False,moderate,False,False,2014-10-11,2018-02-14,2019-08-07
1373,18007475,60960633,within an hour,100.0,True,Carmel Valley,7,True,False,Carmel Valley,House,Private room,2,2.0,5,2,395.0,0.0,25.0,1,1,90,2,4,100,10,10,10,10,10,10,False,True,False,moderate,False,False,2016-02-29,2017-07-29,2019-05-26
1375,2620322,868307,within a few hours,90.0,True,,1,True,True,Mission Beach,Guesthouse,Entire home/apt,2,1.0,0,1,195.0,100.0,50.0,1,2,1125,277,554,97,10,10,10,10,10,9,False,False,False,strict_14_with_grace_period,False,False,2011-07-25,2014-04-04,2019-07-31
1376,3310338,11279312,within a few hours,100.0,True,North Park,1,True,True,North Park,Guesthouse,Entire home/apt,2,1.0,1,1,130.0,750.0,50.0,2,3,20,166,332,99,10,10,10,10,10,10,False,False,False,moderate,False,False,2014-01-13,2014-06-23,2019-08-04
1377,9498171,16174244,within an hour,95.0,True,Horton Plaza,3,True,True,Horton Plaza,Apartment,Entire home/apt,2,1.0,1,1,195.0,0.0,49.0,4,2,15,218,436,97,10,9,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-05-30,2015-11-29,2019-07-28
1378,17250330,105305744,within an hour,100.0,False,La Jolla,1,True,False,La Jolla,Guesthouse,Entire home/apt,2,1.0,1,2,130.0,250.0,75.0,1,3,1125,32,64,79,9,8,9,9,10,8,False,True,False,strict_14_with_grace_period,False,False,2016-11-27,2017-05-11,2019-08-12
1379,19967933,36714161,within an hour,100.0,True,,1,True,True,Mission Hill,Guesthouse,Entire home/apt,2,1.0,1,2,130.0,,40.0,1,3,28,61,122,97,10,10,10,10,10,10,False,False,False,flexible,False,False,2015-06-25,2017-07-31,2019-07-27
1380,20656121,33803374,within an hour,100.0,True,Core-Columbia,1,True,True,Core-Columbia,Condominium,Private room,2,1.0,1,1,195.0,,,1,2,7,62,124,100,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2015-05-20,2018-04-11,2019-07-26
1381,26252803,19411244,within an hour,95.0,True,Park West,3,True,True,Park West,House,Entire home/apt,2,1.0,1,1,195.0,250.0,50.0,1,2,28,13,26,98,10,10,10,10,10,10,False,False,False,moderate,False,False,2014-08-03,2018-07-10,2019-07-19
1382,26400529,5377646,within an hour,100.0,True,Park West,4,True,True,Park West,Townhouse,Private room,2,1.0,1,1,195.0,0.0,25.0,1,2,29,3,6,100,10,10,10,9,9,10,False,False,False,moderate,False,False,2013-03-08,2019-03-31,2019-07-21
1383,32191654,2360936,within an hour,100.0,True,La Jolla,1,True,False,La Jolla,Guest suite,Entire home/apt,2,1.0,0,1,130.0,200.0,120.0,1,3,120,20,40,99,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2012-05-13,2019-03-04,2019-08-12
1385,1750470,9192036,within a few hours,100.0,True,North Park,7,True,False,North Park,Condominium,Entire home/apt,2,1.0,1,1,129.0,500.0,100.0,1,3,1125,41,82,98,10,10,10,10,10,9,False,False,False,strict_14_with_grace_period,False,True,2013-10-02,2014-01-03,2019-07-29
1386,4623080,2003694,within a few hours,100.0,True,Ocean Beach,3,True,True,Ocean Beach,Apartment,Entire home/apt,2,1.0,1,1,129.0,800.0,133.0,1,3,1125,9,18,93,10,10,10,10,9,10,False,False,False,strict_14_with_grace_period,False,False,2012-03-25,2016-10-23,2019-07-22
1387,13862725,81928110,within an hour,100.0,True,East Village,1,True,False,East Village,Apartment,Entire home/apt,2,1.0,1,1,129.0,300.0,60.0,2,3,90,136,272,99,10,10,10,10,10,10,False,True,False,moderate,False,False,2016-07-05,2017-06-19,2019-08-12
1388,19878835,4719358,a few days or more,40.0,False,,1,True,True,Park West,Apartment,Private room,2,1.0,1,1,129.0,,50.0,2,3,29,5,10,90,9,9,9,10,10,8,False,True,False,moderate,False,False,2013-01-16,2017-07-23,2018-09-18
1389,20502149,23660741,within a day,100.0,False,South Park,2,True,False,South Park,Bungalow,Entire home/apt,2,1.0,0,1,129.0,200.0,80.0,1,3,1125,3,6,100,10,10,10,10,9,8,False,False,False,strict_14_with_grace_period,False,False,2014-11-12,2018-02-19,2019-01-24
1390,23668633,29990718,within an hour,100.0,True,Cortez,15,True,True,Cortez,Apartment,Entire home/apt,2,1.0,1,1,129.0,100.0,55.0,2,3,1125,45,90,98,10,10,10,10,10,10,False,False,False,flexible,False,False,2015-03-25,2018-03-31,2019-07-15
1391,33878037,29990718,within an hour,100.0,True,Cortez,15,True,True,Cortez,Apartment,Entire home/apt,2,1.0,1,1,129.0,,45.0,2,3,1125,16,32,94,10,10,10,10,10,9,False,False,False,flexible,False,False,2015-03-25,2019-04-24,2019-08-15
1392,31740311,2238362,within a few hours,100.0,False,Birdland,4,True,True,Birdland,Apartment,Entire home/apt,2,1.0,0,1,55.0,200.0,70.0,2,7,60,6,12,90,10,8,10,10,10,9,False,False,False,flexible,False,False,2012-04-27,2019-01-27,2019-08-10
1393,27134555,67836061,,,False,,1,True,False,,House,Private room,2,1.0,1,1,192.0,,,1,2,14,3,6,100,9,9,9,9,9,9,False,False,False,flexible,False,False,2016-04-18,2018-09-02,2018-11-04
1394,22250740,52941033,within an hour,100.0,True,Ocean Beach,2,True,False,Ocean Beach,Apartment,Entire home/apt,2,1.0,1,1,127.0,0.0,89.0,1,3,50,63,126,98,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-01-01,2017-12-29,2019-08-17
1395,4350317,1489623,within a few hours,100.0,True,Hillcrest,4,True,True,Hillcrest,Bungalow,Entire home/apt,2,1.0,1,1,95.0,250.0,75.0,1,4,1125,78,156,95,10,9,10,10,10,10,False,False,False,moderate,False,False,2011-12-09,2014-10-20,2019-08-04
1397,14869195,84148205,within a few hours,100.0,False,,2,True,False,Midway District,Boat,Entire home/apt,2,1.0,2,2,190.0,0.0,75.0,1,2,7,12,24,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2016-07-16,2016-09-25,2019-07-28
1398,23791070,75995321,within an hour,100.0,True,Valencia Park,3,True,True,Valencia Park,Apartment,Entire home/apt,2,1.0,0,1,95.0,250.0,20.0,2,4,1120,100,200,97,10,10,10,10,9,10,False,True,False,strict_14_with_grace_period,False,False,2016-06-05,2018-06-30,2019-08-14
1401,8797999,46103312,within an hour,100.0,True,Roseville/Fleet Ridge,2,True,True,Roseville/Fleet Ridge,House,Private room,2,1.0,1,1,189.0,,,1,2,10,49,98,100,10,10,10,10,10,10,False,True,False,flexible,False,False,2015-10-08,2016-04-26,2019-08-10
1402,13192599,73849443,within an hour,100.0,True,Pacific Beach,1,True,True,Pacific Beach,Apartment,Entire home/apt,2,1.0,1,1,189.0,200.0,80.0,2,2,35,116,232,98,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-05-24,2016-05-30,2019-08-11
1403,16324594,22246427,within an hour,91.0,True,Mission Beach,9,True,True,Mission Beach,Condominium,Entire home/apt,2,1.0,1,2,189.0,350.0,65.0,2,2,29,135,270,97,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-10-07,2016-12-17,2019-08-03
1404,17684718,120453969,within an hour,100.0,False,Pacific Beach,2,True,False,Pacific Beach,House,Entire home/apt,2,1.0,1,1,189.0,1000.0,75.0,1,2,1125,67,134,94,9,9,10,10,10,9,False,True,False,moderate,False,False,2017-03-12,2017-03-24,2019-07-29
1405,23206395,81553386,within an hour,100.0,False,Kensington,1,True,False,Kensington,Guesthouse,Entire home/apt,2,1.0,1,1,189.0,0.0,75.0,2,2,1125,11,22,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-07-03,2018-03-04,2019-06-30
1407,401431,2003694,within a few hours,100.0,True,Ocean Beach,3,True,True,Ocean Beach,House,Entire home/apt,2,1.0,1,1,125.0,500.0,125.0,2,3,730,37,74,99,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2012-03-25,2012-05-16,2019-06-15
1408,3339913,1233894,within an hour,100.0,True,Bay Park,1,True,True,Bay Park,Guesthouse,Entire home/apt,2,1.0,1,1,125.0,,75.0,1,3,28,67,134,97,10,10,10,10,10,9,False,True,False,strict_14_with_grace_period,False,False,2011-10-01,2014-06-27,2019-07-31
1409,11398531,51495594,within a few hours,100.0,False,Morena,1,True,False,Morena,Apartment,Entire home/apt,2,1.0,0,1,125.0,250.0,100.0,2,3,30,9,18,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2015-12-16,2016-08-20,2019-07-07
1411,18159931,1315739,within an hour,100.0,True,South Park,4,True,True,South Park,Guesthouse,Entire home/apt,2,1.0,1,1,125.0,250.0,75.0,2,3,30,95,190,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2011-10-20,2017-05-07,2019-08-06
1413,23271763,71574960,within an hour,100.0,False,Mission Beach,10,True,False,Mission Beach,Apartment,Entire home/apt,2,1.0,1,1,125.0,400.0,125.0,1,3,1125,24,48,93,10,9,10,10,10,9,False,True,False,strict_14_with_grace_period,False,False,2016-05-11,2018-05-07,2019-07-27
1414,25493158,22100505,within an hour,100.0,True,Point Loma Heights,1,True,True,Point Loma Heights,Townhouse,Private room,2,1.5,1,1,75.0,,0.0,1,5,60,40,80,94,10,9,10,10,10,9,False,False,False,moderate,False,False,2014-10-03,2018-06-22,2019-08-15
1415,26336967,8992436,within an hour,100.0,True,Kihei/Wailea,7,True,True,La Jolla,Condominium,Entire home/apt,2,1.0,1,1,125.0,300.0,125.0,2,3,1125,23,46,95,10,10,10,10,10,9,False,True,False,strict_14_with_grace_period,False,False,2013-09-22,2018-07-27,2019-07-30
1416,26604008,56662984,,,False,North Park,1,True,False,North Park,Camper/RV,Entire home/apt,2,1.0,0,1,125.0,500.0,50.0,1,3,10,1,2,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-01-29,2018-07-22,2018-07-22
1417,26916903,123768713,within an hour,100.0,True,,4,True,False,,Camper/RV,Entire home/apt,2,1.0,1,1,75.0,0.0,24.0,1,5,90,10,20,100,10,10,10,10,10,10,False,True,False,flexible,False,False,2017-04-01,2018-07-22,2019-06-22
1418,29419232,50072758,within an hour,100.0,True,Mission Beach,3,True,True,Mission Beach,Apartment,Entire home/apt,2,1.0,0,1,125.0,0.0,95.0,2,3,28,25,50,98,10,10,10,10,10,10,False,True,False,moderate,False,False,2015-11-28,2018-10-28,2019-07-24
1419,36321890,233405230,within a day,100.0,False,,1,True,False,Grantville,Apartment,Entire home/apt,2,1.5,1,1,75.0,,,1,5,1125,4,8,95,9,9,10,10,10,9,False,False,False,strict_14_with_grace_period,False,False,2018-12-30,2019-07-07,2019-08-09
1420,36524567,274601836,within an hour,100.0,False,Midway District,0,True,False,Midway District,Apartment,Entire home/apt,2,1.0,0,1,125.0,0.0,25.0,1,3,1125,1,2,100,10,10,10,10,10,10,False,True,False,moderate,False,False,2019-07-08,2019-07-30,2019-07-30
1421,23153245,29990718,within an hour,100.0,True,Cortez,15,True,True,Cortez,Apartment,Entire home/apt,2,1.0,0,1,124.0,0.0,49.0,2,3,1125,60,120,98,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2015-03-25,2018-02-17,2019-08-01
1422,776603,3292394,within an hour,100.0,True,,4,True,True,La Jolla,Cottage,Entire home/apt,2,1.0,1,1,185.0,300.0,50.0,1,2,1125,103,206,97,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,True,True,2012-08-17,2012-12-11,2019-07-17
1423,12055622,16174244,within an hour,95.0,True,Horton Plaza,3,True,True,Horton Plaza,Apartment,Entire home/apt,2,1.0,0,1,185.0,0.0,49.0,1,2,14,184,368,97,10,9,9,9,10,10,False,True,False,strict_14_with_grace_period,False,False,2014-05-30,2016-05-31,2019-08-03
1424,12445325,8336938,within an hour,100.0,True,La Jolla,63,True,True,Ocean Beach,Guesthouse,Entire home/apt,2,1.0,0,1,185.0,300.0,70.0,1,2,1125,34,68,96,9,10,10,10,10,9,False,True,False,moderate,False,False,2013-08-23,2016-04-26,2019-08-11
1425,21310030,16174244,within an hour,95.0,True,Horton Plaza,3,True,True,Horton Plaza,Apartment,Entire home/apt,2,1.0,0,1,185.0,0.0,49.0,1,2,30,98,196,97,10,9,9,9,10,9,False,True,False,strict_14_with_grace_period,False,False,2014-05-30,2017-10-15,2019-07-21
1427,4530817,2116837,within an hour,100.0,True,Fairmont Park,7,True,True,Fairmont Park,House,Private room,2,1.0,1,1,52.0,,,1,7,150,84,168,98,10,10,10,10,10,10,False,False,False,flexible,False,False,2012-04-11,2014-11-13,2018-10-03
1428,20554160,12243051,within an hour,99.0,False,Gay Village,1136,True,True,La Jolla,Apartment,Entire home/apt,2,1.0,1,1,182.0,400.0,98.0,2,2,1124,65,130,94,10,10,10,10,10,9,False,True,False,strict_14_with_grace_period,False,False,2014-02-14,2017-08-22,2019-07-21
1429,1984267,8959661,within an hour,100.0,True,Pacific Beach,19,True,True,Pacific Beach,Apartment,Entire home/apt,2,1.0,0,1,90.0,300.0,60.0,1,4,28,182,364,97,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2013-09-20,2013-12-13,2019-08-13
1430,5580390,28931160,,,False,La Jolla,1,True,True,La Jolla,Guest suite,Private room,2,1.0,1,1,90.0,0.0,45.0,1,4,365,52,104,96,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2015-03-07,2015-03-16,2018-09-10
1431,6940012,36389576,,,False,East Village,1,True,True,East Village,Apartment,Entire home/apt,2,1.0,0,1,180.0,,,1,2,1125,19,38,95,10,9,10,10,10,9,False,False,False,strict_14_with_grace_period,False,False,2015-06-21,2015-07-12,2016-07-24
1432,9370670,48619959,within an hour,100.0,True,La Jolla,1,True,False,La Jolla,Guest suite,Entire home/apt,2,1.0,1,2,180.0,500.0,50.0,2,2,90,74,148,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2015-11-09,2016-06-06,2019-08-03
1433,13830722,20035962,within an hour,100.0,True,North Clairemont,1,True,True,North Clairemont,Guest suite,Entire home/apt,2,1.0,0,1,90.0,125.0,85.0,2,4,30,62,124,99,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2014-08-14,2016-07-17,2019-07-14
1435,18477217,128170226,within an hour,100.0,True,Pacific Beach,1,True,True,Pacific Beach,Guest suite,Entire home/apt,2,1.0,1,1,120.0,300.0,50.0,2,3,25,103,206,98,10,10,10,10,10,9,False,True,False,strict_14_with_grace_period,False,False,2017-04-29,2017-05-30,2019-08-11
1436,20286862,37349401,,,False,,1,True,False,Ocean Beach,Apartment,Entire home/apt,2,1.0,1,1,120.0,250.0,25.0,1,3,7,23,46,99,10,10,10,10,10,10,False,True,False,flexible,False,False,2015-07-02,2017-08-14,2019-04-30
1438,26754911,641694,within a few hours,100.0,False,,1,True,True,Kensington,Cottage,Private room,2,1.0,1,1,90.0,150.0,50.0,1,4,7,1,2,100,8,10,10,10,10,10,False,False,False,moderate,False,False,2011-05-30,2019-07-21,2019-07-21
1439,27424206,64326538,a few days or more,25.0,False,,1,True,False,Pacific Beach,Apartment,Private room,2,1.0,1,1,120.0,,50.0,1,3,31,2,4,70,9,8,10,10,9,8,False,True,False,flexible,False,False,2016-03-24,2019-03-10,2019-04-16
1440,28079170,212089995,within an hour,100.0,True,North Park,1,True,False,North Park,Apartment,Entire home/apt,2,1.0,1,2,120.0,0.0,90.0,2,3,30,29,58,95,10,10,10,10,9,9,False,False,False,moderate,False,False,2018-08-27,2018-09-21,2019-07-29
1441,28464060,34476470,within a few hours,83.0,False,Pacific Beach,7,True,False,Bay Ho,Guest suite,Entire home/apt,2,1.0,1,1,120.0,500.0,100.0,2,3,1125,3,6,93,10,10,9,9,10,9,False,False,False,strict_14_with_grace_period,False,False,2015-05-28,2019-02-27,2019-06-15
1442,33771013,82538308,within an hour,100.0,False,South Park,3,True,False,South Park,Apartment,Entire home/apt,2,1.0,1,1,120.0,500.0,100.0,2,3,1125,1,2,100,10,10,10,10,10,10,False,True,False,flexible,False,False,2016-07-08,2019-05-29,2019-05-29
1443,34092039,223594810,within an hour,100.0,True,LoDo,2,True,False,Midway District,Boat,Entire home/apt,2,1.0,1,2,180.0,,,1,2,30,4,8,100,10,10,10,10,10,10,False,True,False,flexible,False,False,2018-11-01,2019-05-20,2019-08-09
1445,34902187,25553773,within an hour,100.0,False,,1,True,False,Ocean Beach,Boat,Entire home/apt,2,1.0,1,2,120.0,0.0,20.0,1,3,14,4,8,95,9,10,10,10,10,10,False,True,False,flexible,False,False,2015-01-03,2019-06-02,2019-07-26
1446,19952366,3396026,within an hour,100.0,True,University City,5,True,False,University City,Townhouse,Private room,2,1.5,1,2,179.0,350.0,65.0,1,2,1125,4,8,80,8,8,10,9,9,8,False,False,False,strict_14_with_grace_period,False,False,2012-08-28,2019-07-18,2019-07-30
1447,29079425,219139185,within a day,100.0,True,Del Mar Heights,1,True,False,Del Mar Heights,House,Entire home/apt,2,1.0,1,1,179.0,,45.0,1,2,1125,17,34,100,10,10,10,10,10,10,False,False,False,flexible,False,False,2018-10-06,2018-10-21,2019-08-10
1448,31935307,25519858,within an hour,100.0,True,Mission Beach,25,True,True,Mission Beach,Apartment,Entire home/apt,2,1.0,0,1,179.0,150.0,70.0,2,2,28,34,68,97,10,10,10,10,10,10,False,True,False,moderate,False,False,2015-01-02,2019-03-06,2019-08-04
1449,15486276,17850692,within an hour,100.0,True,Golden Hill,7,True,True,Golden Hill,Apartment,Entire home/apt,2,1.0,1,1,119.0,300.0,85.0,2,3,29,44,88,97,10,10,10,10,10,9,False,True,False,strict_14_with_grace_period,False,False,2014-07-09,2016-12-04,2019-07-29
1450,28520087,139713095,within a few hours,100.0,False,La Jolla,4,True,False,Normal Heights,House,Entire home/apt,2,1.0,1,1,119.0,500.0,120.0,1,3,150,13,26,98,10,10,10,10,10,10,False,False,False,flexible,False,False,2017-07-10,2018-11-16,2019-07-22
1451,34284886,20703059,within a few hours,80.0,True,La Jolla,1,True,True,La Jolla,Apartment,Entire home/apt,2,1.0,1,1,118.0,,,1,3,1125,11,22,100,10,10,10,10,10,10,False,False,False,flexible,False,False,2014-08-29,2019-05-21,2019-08-04
1452,30344207,224859198,within an hour,99.0,False,Mission Valley East,56,True,False,Gaslamp,Apartment,Entire home/apt,2,1.0,1,1,176.0,400.0,104.0,2,2,1125,9,18,91,10,10,10,9,10,9,False,True,False,strict_14_with_grace_period,False,False,2018-11-08,2018-12-29,2019-07-19
1453,705866,3292394,within an hour,100.0,True,,4,True,True,La Jolla,House,Private room,2,1.0,1,1,175.0,300.0,50.0,1,2,1125,50,100,99,10,10,10,10,10,9,False,False,False,strict_14_with_grace_period,True,True,2012-08-17,2012-11-07,2019-07-28
1454,4402515,21985882,within a day,86.0,False,College East,1,True,True,College East,Cottage,Private room,2,1.0,1,1,70.0,100.0,25.0,2,5,60,11,22,88,9,8,9,9,9,9,False,False,False,moderate,False,False,2014-09-30,2017-07-16,2019-08-08
1458,11902845,8336938,within an hour,100.0,True,La Jolla,63,True,True,Bay Park,Condominium,Entire home/apt,2,1.0,0,1,175.0,0.0,70.0,1,2,1125,43,86,98,10,10,10,10,10,10,False,True,False,moderate,False,False,2013-08-23,2016-04-05,2019-07-29
1459,13314567,75258158,,,False,East Village,1,True,True,East Village,Apartment,Entire home/apt,2,1.0,1,1,350.0,0.0,50.0,2,1,7,4,8,95,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-06-01,2016-07-24,2016-09-11
1461,14016952,81135905,within an hour,100.0,True,Little Italy,6,True,True,Little Italy,Loft,Entire home/apt,2,1.0,1,1,175.0,200.0,55.0,2,2,15,310,620,100,10,10,10,10,10,10,False,False,False,strict_14_with_grace_period,False,False,2016-07-01,2016-07-24,2019-08-15
1462,14339994,8336938,within an hour,100.0,True,La Jolla,63,True,True,Bay Park,Condominium,Entire home/apt,2,1.0,1,1,175.0,0.0,70.0,1,2,1125,39,78,96,9,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2013-08-23,2017-03-05,2019-08-05
1463,15376224,2921712,,,False,,1,True,True,Core-Columbia,Condominium,Entire home/apt,2,1.0,0,1,175.0,0.0,100.0,2,2,7,2,4,100,10,10,10,10,10,10,False,False,False,moderate,True,True,2012-07-13,2018-07-09,2018-07-22
1465,17568998,40489621,within an hour,96.0,True,Mission Beach,3,True,True,Mission Beach,Condominium,Entire home/apt,2,1.5,1,1,175.0,350.0,60.0,1,2,7,25,50,100,10,10,10,10,10,10,False,False,False,moderate,False,False,2015-08-04,2017-07-03,2019-07-07
1466,18008300,16004699,within a few hours,100.0,True,Rancho Penasquitos,3,True,True,Rancho Penasquitos,House,Private room,2,1.0,1,1,70.0,200.0,25.0,1,5,10,4,8,95,9,10,10,10,10,9,False,False,False,flexible,False,False,2014-05-26,2017-07-18,2017-08-19
1467,20624057,147436990,,,False,La Jolla,2,True,False,La Jolla,Condominium,Private room,2,1.0,1,1,175.0,,25.0,2,2,1125,2,4,100,10,10,10,10,10,10,False,True,False,strict_14_with_grace_period,False,False,2017-08-23,2017-09-04,2017-09-22
1468,24183774,13061511,within an hour,100.0,False,Park West,1,True,False,Park West,Apartment,Entire home/apt,2,1.0,1,1,175.0,0.0,80.0,1,2,1125,10,20,96,10,10,10,9,10,9,False,False,False,moderate,False,False,2014-03-12,2019-04-28,2019-07-26
1469,24590190,114423280,within an hour,100.0,True,Mountain View,3,True,True,Mountain View,Townhouse,Private room,2,1.0,1,1,70.0,,29.0,1,5,1125,21,42,95,10,9,10,10,9,9,False,True,False,strict_14_with_grace_period,False,False,2017-02-01,2018-08-31,2019-07-22
1470,25402328,7367398,within an hour,100.0,False,Linda Vista,2,True,False,Linda Vista,Condominium,Entire home/apt,2,1.0,1,1,175.0,5000.0,60.0,2,2,7,18,36,99,10,10,10,10,10,10,False,True,False,moderate,False,False,2013-07-09,2018-06-10,2019-07-21
1471,30344337,224859198,within an hour,99.0,False,Mission Valley East,56,True,False,East Village,Apartment,Entire home/apt,2,1.0,1,1,175.0,400.0,100.0,2,2,1125,5,10,68,9,8,8,9,8,9,False,True,False,strict_14_with_grace_period,False,False,2018-11-08,2018-12-23,2019-06-20
